あ
ああ<副>            那么;那样
かげん[加減(する/他)] 程度;调整
かこ[過去]          过去;既往
かご                筐子;篮子;笼子
かこう[加工(する/他)] 加工
かこむ[囲む/他]     包围;环;圈
かさ[傘]            伞
かさい[火災]        火灾
かさなる[重なる/自] 重复;赶在一起
かさねる[重ねる/他] 重叠;摞起来
かざり[飾り]        装饰品
かざる[飾る/他]     装饰;陈列
かざん[火山]        火山
かし[貸し]          借出;出租
かし[菓子]          点心;糖果
かじ[家事]          家务
かじ[火事]          火灾
かしこい[賢い]      聪明
かしこまりました<感> (敬语)知道了
かしだし[貸し出し]  出借;出租
かしま[貸し間]      出租的房间
かしゅ[歌手]        歌手;歌唱家
かしょ[箇所]        地方;部分
かじる/他           咬;啃
かす[貸す/他]       借出;租出
かず[数]            数目;数
ガス                煤气
かすか(な)          微弱;略微
かぜ[風]            风
かせぐ[稼ぐ]        挣钱;赚钱;争取
かぞえる[数える/他] 数;计算
かぞく[家族]        家族;家人;家属
ガソリン            汽油
かた[型]            模型;形式;型;样式
かた[方]            方法;(敬语)位;人 
かた[肩]            肩;肩膀
かたい[硬い]        硬
かだい[課題]        课题;任务
かたがた            (后缀)各位;诸位
がたがた            (似声词)喀嗒喀嗒
かたかな[片かな]    (日语字母)片假名
かたち[形]        形状;样子;状态;形式
かたづく[片付く/自] 收拾好;整理好
かたづける[片付ける/他]收拾;整理;处理
かたて[片手]        一只手
かたな[刀]          刀;剑
かたほう[片方]      (双方中的)一方
かたまり[塊]        块;群;堆
かたまる[固まる/自] 凝固;集在一起
かたむく[傾く/自]   倾;偏;歪;衰微
かたむける[傾ける/他] 使???倾斜;???歪
かためる[固める/他] 使???凝固
かたよる/自         偏于一方;偏袒
かたる[語る/他]     谈;讲
かち[勝ち]          胜利;赢
かち[価値]          价值
かちく[家畜]        家畜
かつ[勝つ/自]       胜利;赢
がっか[学科]        学科
がっかい[学会]      学会
がっかり(する/自)   失望;灰心丧气
がっき[学期]        学期
がっき[楽器]        乐器
かつぐ[担ぐ/他]     担;扛;挑;背;骗
かっこ[括弧]        括弧
かっこう[格好]      外观;恰好;模样
がっこう[学校]      学校
かっこく[各国]      各国
かつじ[活字]        铅字;活字
がっしょう[合唱(する/他)] 合唱
かつて              曾经;以前
かって[勝手]      任意;随便;方便;橱房 
かつどう[活動(する/自)] 活动
かっぱつ[活発(に)]  活泼;活跃
がっぺい[合併(する/自他)] 合并
かつやく[活躍(する/自)] 活跃
かつよう[活用(する/他)] 有效利用;活用
かてい[過程]        过程
かてい[家庭]        家庭
かてい[仮定(する/自)] 假定
かど             角;隅角;拐角儿;棱角
かな                (日语字母)假名
かない[家内]        (自称自己的)妻子
かなしい[悲しい]    伤心
かなしみ[悲しみ]    悲伤;悲哀
かなしむ[悲しむ/他]    悲伤;悲哀;悲痛;伤心
かならず[必ず]      必定;必然;注定
かならずしも       未必;不见得;不一定
かなり              相当;颇为
かなわない          敌不过;经不起
かに                螃蟹
かね[金]            钱;金属
かね[鐘]            吊钟;钟声
かねて           事先;以前;早先;老早
かねもち[金持ち]    有钱人;富翁
かねる[兼ねる/他]   兼带;兼任;兼作
かのう[可能(な)]    可能
かのじょ[彼女]      她;女朋友
カバー              套子;罩布
かばう/他           庇护;保护
かばん              提包
かび                霉
かびん[花瓶]        花瓶
かぶ[株]         树桩子;株;股份;股票
かぶ                芜菁;圆萝卜
かぶき[歌舞伎]      歌舞伎
かぶる/他           戴;蒙;盖;浇
かべ[壁]            墙壁;障碍;隔阂
かへい[貨幣]        货币
カボチャ            南瓜
かま                锅灶
かまう[構う/他]     管;介意;照顾
がまん              忍耐;原谅;将就
かみ[神]            神;上帝
かみ[紙]            纸
かみ[髪]            头发
かみくず[紙くず]    废纸
かみそり          剃刀;刮头刀;刮脸刀
かみなり[雷]        雷
かみのけ[髪の毛]    头发
かむ/他             咬;嚼;咀嚼
かめ                龟
カメラ              照相机
かもく[科目]        科目;学科;项目
かもしれない        也许;可能;说不定
かもつ[貨物]        货物
かゆい              痒
かよう[火曜]        星期二
かよう[通う/自]     往来;通行
から[殻]            外壳;外皮
から[空]            空
がら[柄]            花样;体格;品格
カラー              彩色;特色
からい[辛い]        辣;咸;严格
カラオケ            卡拉OK
からかう/他         逗;开玩笑
からす              乌鸦
ガラス              玻璃
からだ[体]          身体;体质
からだつき[体付き]  体格;体形;姿态
からっぽ            空;空虚
かり[仮]            暂时
かり[借り]          借款;欠人家的恩情
かりる[借りる/他]   借入;租
かる[刈る/他]       割;剪;修剪
かるい[軽い]        轻;简单
かれ[彼]            他
かれら[彼ら]        他们
かれる[枯れる/自]   枯萎;干涸
カレンダー        挂历;日历;月历;年历
かろう[過労]        过劳
かわ[川]            河
かわ[皮]            皮;外皮;皮革
がわ[側]       ???方面;??侧;立场;旁边
かわいい          可爱;小巧玲珑;好玩
かわいがる/他       爱;喜爱;严加管教
かわいそう(な)      可怜
かわいらしい        可爱;讨人喜欢
かわかす[乾かす/他] 弄干
かわく[乾く/自]     干燥;枯燥
かわせ[為替]        汇款;汇票
かわら              瓦
かわり[代わり]      代替
かわる[変わる/自]   改变;变
かん[巻]            (书籍)???卷;书册
かん[缶]            罐子
かん[勘]            直感;灵感
がん                癌
かんがい[潅漑]      灌溉
かんがえ[考え]    想法;念头;思想;意见
かんがえる[考える/他]  想;思考;考虑;认为
かんかく[感覚]      (五感)感觉
かんきゃく[観客]    观众
かんきょう[環境]    环境
かんけい[関係(する/自)] 关系
かんげい[歓迎(する/他)] 欢迎
かんげき[感激(する/自)] 感激;感动
かんご[看護(する/他)] 看护;护理
がんこ(な)          顽固;固执 
かんこう[観光]      观光
かんごし[看護士]    护士
かんさつ[観察(する/他)] 观察
かんさん[換算(する/他)] 折算
かんし[監視(する/他)] 监视
かんじ[感じ]        知觉;印象
かんじ[漢字]        汉字
がんじつ[元日]      元旦
かんしゃ[感謝(する/自他)] 感谢
かんじゃ[患者]      病人
かんしゅう[観衆]    观众
がんしょ[願書]      申请书;志愿书
かんしょう[鑑賞(する/他)] 欣赏
かんしょう[干渉(する/自)] 干涉
かんじょう[感情]    感情
かんじょう[勘定(する/他)] 结账
がんじょう(な)      结实
かんじる[感じる/自他] 感觉;感到
かんしん[感心(する/自)] 佩服
かんしん[関心]      关心;感兴趣
かんじん(な)        首要
かんする[関する/自] 与???有关;关于
かんせい[完成(する/自他)] 完成
かんぜい[関税]      关税
かんせつ[関節]      关节
かんせつ[間接(に)]  间接
かんぜん[完全(に)]  完全
かんそう[感想]      感想
かんそう[乾燥(する/自)] 干燥
かんぞう[肝臓]      肝脏
かんそく[観測(する/他)] 观测
かんたん[簡単(な)]  简单
かんだんけい[寒暖計] 寒暑表;温度计
かんちょう[官庁]    政府机关
かんづめ[缶づめ]    罐头
かんどう[感動(する/自)] 感动;激动
かんとく[監督(する/他)]监督;导演;领队
かんぱい[乾杯(する/自)] 干杯
がんばる/自    拼命努力;加油;固执己见
かんばん[看板] 招牌;广告牌;(铺子)关门
かんびょう[看病(する/他)] 护理;看护(病人) 
かんぶ[幹部]        领导干部;负责人
かんり[管理(する/他)] 管理;经管;保管
かんりょう[完了(する/自他)] 完成;结束
かんれん[関連(する/自)]关联;联系
かんわ[緩和(する/他)] 缓

き
き[気]              气;脾气;情绪
き[木]              树;木材
きあつ[気圧]        气压
きいろい[黄色い]    黄色
ぎいん[議員]        议员
きえる[消える/自]   熄灭;消失;隐没
きおく[記憶(する/他)] 记忆;记性
きおん[気温]        气温
きかい[機会]        机会
きかい[機械]        机器;机械
ぎかい[議会]        议会;国会
きがえ[着がえ]      換衣服;替换的衣服
きがえる[着がえる/他] 換(衣服)
きかく[企画(する/他)] 规划;计划
きがる[気がる(に)]  轻松愉快
きかん[期間]        期间
きかん[機関]        机关;组织;单位
きかん[季刊]        季刊
きかんしゃ[機関車]  机车;火车头
きき[危機]          危机;危险境地
ききて[聞き手]      听者;听众
きぎょう[企業]      企业
きく[菊]            菊花
きく[聞く/他]       听;听说;打听;闻
きく[利く/自]       有效
きぐ[器具]          器具;用具;器械
きげき[喜劇]        喜剧;笑剧;滑稽剧
きけん[危険]        危险
きげん[起源]        起源
きげん[期限]        期限
きげん[機嫌]        心情;情绪
きこう[気候]        气候
きごう[記号]        记号;符号
きこえる[聞こえる/自] 听得到
きこく[帰国(する/自)] 回国;归国;回乡
きざむ[刻む/他]刻;切细;剁碎;雕刻;铭刻
きし[岸]            岸;海岸;河岸
きじ[記事]          记叙;报导;消息
きじ                野鸡
ぎし[技師]          技师;工程师
きしつ[気質]        气质;性情
きじつ[期日]        日期;期限
きしゃ[記者]        记者
きしゃ[汽車]        火车
ぎじゅつ[技術]      技术
きじゅん[基準]      基准;标准
